playerShort,club,leagueCountry,birthday,position,yellowCards,redCards,victories,goals,meanIAT_yellowCards,meanIAT_redCards,meanExp_yellowReds,games,meanExp_redCards,ties,meanExp_yellowCards,height,defeats,meanIAT_yellowReds,weight,skin_color
fabrice-abriel,OGC Nice,France,3473.0,Right Midfielder,16,0,105,13,-0.02395039599598357,-0.001425995416867212,-0.001396258555982659,259,-0.001476150928447402,79,-0.02543244806341752,176.0,75,-0.001348817565482329,69.0,0.5
fabrice-begeorgi,AC Ajaccio,France,6318.0,Right Fullback,15,1,31,4,0.01052987252363969,0.002248053994266906,0.002326146182912538,91,0.00224947005235722,32,0.010206251939710842,177.0,28,0.002346802840566552,74.0,0.0
fabrice-ehret,Évian Thonon Gaillard,France,3557.0,Left Midfielder,35,4,102,14,-0.0064337289066414265,0.0029609928459266837,0.0007920065584013831,305,0.0029147184095350345,82,-0.007247839241489809,184.0,121,0.0008376175172438208,73.0,0.125
fabricio-coloccini,Newcastle United,England,4404.0,Center Back,75,3,192,18,0.011408235135747371,0.0007235132996916085,0.0031558684082430475,463,0.0007734897179231985,110,0.020233623065792593,183.0,161,0.0017895023017545104,76.0,0.25
fagner,VfL Wolfsburg,Germany,7101.0,Right Fullback,27,1,64,8,0.016694504258223938,0.0008537365160157822,-0.00232880298660787,151,0.0014335434528519905,46,0.026659681196473602,168.0,41,-0.0014601649000959011,67.0,0.25
fahid-ben-khalfallah,Girondins Bordeaux,France,4664.0,Right Midfielder,23,0,63,13,-0.002251129228558108,-0.001419761678266686,-0.0013482807333104654,183,-0.0014254278677513844,56,0.0020345808752814812,174.0,64,-0.0013429212098394132,68.0,0.5
fallou-diagne,SC Freiburg,Germany,7165.0,Center Back,25,4,49,6,0.02305644593818138,0.009921284167418203,-0.0014085055435546735,124,0.016419191243653583,35,0.025143043618381624,185.0,40,-0.001356411214661367,75.0,1.0
federico-fazio,Sevilla FC,Spain,6284.0,Center Back,40,2,104,15,0.02138315952591459,0.002032151078681006,0.003372050148531325,206,0.003238182294742848,46,0.03948333047617614,195.0,56,0.002116530060669681,90.0,0.375
federico-macheda,Manchester United,England,7903.0,Center Forward,11,0,39,19,-0.011849241854869503,-0.0014578611551375634,-0.0016705908001404055,112,-0.0017661801606274825,21,-0.01329354706632411,185.0,52,-0.0013789586634183504,72.0,0.0
felipe-santana,Borussia Dortmund,Germany,5919.0,Center Back,19,0,92,14,-0.007670999984516652,-0.0014661951996425657,0.00023775174319019875,176,-0.001766772472163759,41,-0.001167522143287225,194.0,43,0.0005258183629935754,80.0,0.75
felipe_19,Hannover 96,Germany,6343.0,Center Back,31,2,46,6,0.04806565818473913,0.004766783747528021,-0.0022405128623130036,116,0.008027469831383518,33,0.07665364597537547,193.0,37,-0.0014572951862061245,85.0,0.5
felix-klaus,SpVgg Greuther Fürth,Germany,8291.0,Right Midfielder,20,0,64,29,0.0008514336942466607,-0.0014362996891165148,-0.001378252163805437,147,-0.0014571142303970981,32,0.00011008377425995211,179.0,51,-0.001358564148988119,79.0,0.0
felix-kroos,Werder Bremen,Germany,7740.0,Attacking Midfielder,38,1,43,19,0.03692525935138271,0.0007082574307046163,0.0007724979747185166,157,0.000694255796265334,50,0.03896982245814074,184.0,64,0.0007859697689452282,70.0,0.0
fernando-gago,Valencia CF,Spain,5943.0,Defensive Midfielder,74,0,200,3,0.03453578303167066,-0.0015771213453776621,0.0010244407112041435,328,-0.002520874190725796,53,0.05574970350638446,178.0,75,0.000813320562712068,74.0,0.25
fernando-navarro,Sevilla FC,Spain,4558.0,Left Fullback,117,3,170,3,0.06182025757843787,0.0013005642344506147,0.003754199201749353,387,0.00210093746236825,85,0.09423705823311979,176.0,132,0.0023411616387835708,69.0,0.125
fernando-torres,Chelsea FC,England,5192.0,Center Forward,74,1,313,238,-0.0025869486681887564,-0.0009330205759619823,0.002254649050588355,596,-0.0014135127345856339,135,-0.0029855132858462763,183.0,148,0.0015571603304943376,70.0,0.125
filip-daems,Bor. Mönchengladbach,Germany,3225.0,Left Fullback,34,0,133,31,-0.013130830996884295,-0.0014626588772598038,-0.0012511635924205334,355,-0.0013227537913215073,92,-0.012685315708318802,181.0,130,-0.0013834967227951446,79.0,0.0
filip-malbasic,1899 Hoffenheim,Germany,8357.0,Left Winger,8,1,29,6,0.000508893380527107,0.0035799185714850317,-0.0017530006267607388,58,0.005390971634644435,12,-0.004591144322613633,,17,-0.0012133635344919774,,0.25
florent-balmont,Lille OSC,France,3684.0,Defensive Midfielder,86,4,176,14,0.02597640011389926,0.001830699766885676,-0.0014543331259232648,410,0.0017414853255454947,127,0.03174805291336953,170.0,107,-0.001356870350225351,64.0,0.0
florent-malouda,Chelsea FC,England,3816.0,Left Winger,64,0,338,105,-0.00927274192375341,-0.0014459019079373317,9.371483279084862e-05,604,-0.0017014288049165473,137,-0.011599676583760083,181.0,129,0.000281455104825316,73.0,0.625
florian-hartherz,Werder Bremen,Germany,8549.0,Left Fullback,10,0,53,3,-0.01022365992508896,-0.0014356375251401662,-0.0014197784829674148,97,-0.001501016639677462,23,-0.012337840440136798,187.0,21,-0.0013579378227096717,82.0,0.125
florian-marange,Girondins Bordeaux,France,5905.0,Left Fullback,15,0,57,2,-0.01090195748733151,-0.001442973482001627,0.0007920169492040556,146,-0.0015964475173312778,43,-0.012657082970501598,176.0,46,0.0009274787087304428,70.0,0.0
foued-kadir,Valenciennes FC,France,5086.0,Attacking Midfielder,13,0,58,24,-0.019353136579090904,-0.0013994889730241846,-0.0012865099382640475,178,-0.0013601226160356427,60,-0.01801769146318567,179.0,60,-0.0013237457057617055,68.0,0.25
francis-coquelin,Arsenal FC,England,7802.0,Defensive Midfielder,9,1,50,2,-0.01733221611973208,0.001570593496344492,0.004474619927453997,108,0.001452159462885962,23,-0.023865839075917255,178.0,35,0.00484025175975645,73.0,0.5
franck-beria,Lille OSC,France,4890.0,Right Fullback,52,0,129,3,0.01529389033468126,-0.0014382168818924978,0.001968035004299094,292,-0.0015700304087957237,92,0.017714888969984553,180.0,71,0.002078155597197768,72.0,0.625
franck-ribery,Bayern München,Germany,4844.0,Left Midfielder,46,3,286,127,-0.011862299610875435,0.0009408273534548404,0.0010611063049086207,466,0.002723043396998016,93,-0.015175077976136169,170.0,87,0.0008530911374615547,72.0,0.25
franck-signorino,Stade Reims,France,4279.0,Left Fullback,35,0,72,3,0.0017903618745770539,-0.0014429919045993054,-0.00018581780429569424,255,-0.0015899100508352721,75,0.004928604013509682,173.0,108,-5.240830173020259e-05,69.0,0.0
franco-di-santo,Wigan Athletic,England,7036.0,Center Forward,20,1,52,21,-0.006891612508264645,0.0004913006193621956,-0.0015303519425108345,177,0.0002802010457076542,52,-0.011049800954825089,194.0,73,-0.0013342113093281335,78.0,0.25
franco-vazquez,Rayo Vallecano,Spain,6992.0,Attacking Midfielder,8,0,29,10,-0.008061405305386342,-0.0016181700368421215,-0.002327515274928223,71,-0.0024606931283173298,18,-0.008395666252333211,187.0,24,-0.0015305912935013911,81.0,0.0
franco-zuculini,Real Zaragoza,Spain,7552.0,Defensive Midfielder,25,1,52,5,0.01893603277526987,0.0010760594022354323,0.006592023948915872,136,0.0018006055202300089,29,0.032045828454131786,174.0,55,0.004009684026638576,69.0,0.25
francois-clerc,AS Saint-Étienne,France,4855.0,Right Fullback,30,0,122,9,-0.004441540330668322,-0.0014408720511565772,-0.001528913192730014,247,-0.0016163959169979993,67,-0.009762362877354156,186.0,58,-0.0013628890452412439,77.0,0.0
frank-lampard,Chelsea FC,England,3092.0,Center Midfielder,86,2,523,265,-0.013357016718538046,-0.0007087291657327257,-0.0005936240698569152,914,-0.0009178319082412624,197,-0.01770651451776612,183.0,194,-0.0005922614978403192,77.0,0.125
frazier-campbell,Sunderland AFC,England,6464.0,Center Forward,21,0,74,45,-0.008465472192206391,-0.0014051406517304778,-0.0005509076924951119,194,-0.0015746949411488819,47,-0.011593803328193276,172.0,73,0.0004992965213089657,82.0,0.75
frederic-piquionne,West Ham United,England,3263.0,Center Forward,32,4,132,82,-0.01691179068037189,0.002003506672155653,0.0011970309163234032,389,0.0019782303612234657,118,-0.01955887670714035,188.0,139,0.001219850616498855,77.0,0.5
gabi,Atlético Madrid,Spain,4938.0,Defensive Midfielder,112,0,186,25,0.058777963223141556,-0.0015672365063871643,0.008428987547644004,383,-0.002456112581889213,85,0.0924250847721125,180.0,112,0.005278042942880233,74.0,0.0
gabriel-agbonlahor,Aston Villa,England,6129.0,Right Winger,39,0,131,81,-0.006550728163747021,-0.0014049953043675223,-0.001488944128340755,342,-0.0015741398668885282,97,-0.009634334475273253,178.0,114,-0.0013289540229480094,76.0,0.5
gabriel-obertan,Newcastle United,England,6996.0,Right Winger,4,0,85,7,-0.03659926396342095,-0.0014341532671730516,-0.001549695751066476,168,-0.0016383676303690163,38,-0.03936104838338755,186.0,45,-0.0013565338958848937,79.0,0.25
